ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Foreign Born",4,"35 to 44 Years",2015,"2015",1086,227.00000000000003,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.017288864124810954
3,"Foreign Born",5,"45 to 54 Years",2015,"2015",607,167,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.009663296983204648
3,"Foreign Born",6,"55 to 59 Years",2015,"2015",129,91,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0020536496059858312
3,"Foreign Born",7,"60 & 61 Years",2015,"2015",92,54.99999999999999,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.00146461832364881
3,"Foreign Born",8,"62 to 64 Years",2015,"2015",109,66,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0017352543182360901
3,"Foreign Born",9,"65 to 74 Years",2015,"2015",127,65,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0020218100772108573
3,"Foreign Born",10,"75 Years & Over",2015,"2015",114,75,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0018148531401735255
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6042,"2014",2420,401,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03949343951955089
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6042,"2014",5019,672,"Ames, IA","16000US1901855","ames-ia","Native Born",0.08190808799529996
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6042,"2014",23146,1722,"Ames, IA","16000US1901855","ames-ia","Native Born",0.3777335335204648
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6042,"2014",6967,804,"Ames, IA","16000US1901855","ames-ia","Native Born",0.1136986748482277
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6042,"2014",3644,538,"Ames, IA","16000US1901855","ames-ia","Native Born",0.05946863372282786
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6042,"2014",4062,607,"Ames, IA","16000US1901855","ames-ia","Native Born",0.06629022782165937
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6042,"2014",1948,422,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03179058685292774
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6042,"2014",661,202,"Ames, IA","16000US1901855","ames-ia","Native Born",0.010787257653893857
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6042,"2014",1338,380,"Ames, IA","16000US1901855","ames-ia","Native Born",0.021835628957503753
